"year","index"
1987,15.546
1988,15.302
1989,14.741
1990,14.783
1991,15.349
1992,16.056
1993,16.321
1994,15.648
1995,15.402
1996,16.487
1997,16.055
1998,15.652
1999,15.027
2000,14.908
2001,15.106
2002,14.665
2003,15.893
2004,15.088
2005,15.226
2006,14.909
2007,15.503
2008,15.735
2009,14.949
2010,14.935
2011,14.658
2012,15.008
2013,14.84
2014,15.539
2015,15.089
2016,15.066
